#group,false,false,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,long,long,long,long,long,long,long,double,string,double,string,long,string,string,long,long,long,long
#default,_result,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,pci,rnti,testbed,bsr,cqi,dl_brate,dl_bs,dl_mcs,dl_nof_nok,dl_nof_ok,pucch_snr_db,pucch_ta_ns,pusch_snr_db,pusch_ta_ns,ri,srs_ta_ns,ta_ns,ul_brate,ul_mcs,ul_nof_nok,ul_nof_ok
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:12.338Z,ue_info,1,4601,default,0,10,4656,0,14,0,10,4.1860366,227.294947,29.062002,407.918293,1,n/a,230.836520,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:13.338Z,ue_info,1,4601,default,0,11,4456,0,15,0,9,2.2450826,203.135187,29.349,278.981531,1,n/a,206.052320,9728,27,0,2
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:14.338Z,ue_info,1,4601,default,0,11,25424,0,17,1,7,1.2575535,183.245078,28.752668,239.054373,1,n/a,186.345616,14592,27,0,3
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:15.338Z,ue_info,1,4601,default,0,12,5528,0,18,0,9,2.3404446,222.757990,21.649002,160.471586,1,n/a,220.362338,4864,27,1,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:16.338Z,ue_info,1,4601,default,0,13,8936,0,22,0,12,2.694643,244.903589,29.416002,139.872228,1,n/a,242.844180,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:17.338Z,ue_info,1,4601,default,0,12,7776,0,20,0,12,2.916847,218.770381,29.054,104.777016,1,n/a,216.535199,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:18.338Z,ue_info,1,4601,default,0,12,7872,0,20,0,12,1.9523245,252.065007,29.363335,153.944228,1,n/a,246.511036,14592,27,0,3
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:19.338Z,ue_info,1,4601,default,0,12,6560,0,20,0,10,3.0596,240.285232,29.826002,108.846031,1,n/a,237.707980,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:20.338Z,ue_info,1,4601,default,0,12,2456,0,18,0,4,1.7635771,179.402676,28.630001,119.018551,1,n/a,178.218656,4864,27,0,1
,,0,2026-03-20T11:15:12.585823219Z,2026-03-20T15:15:12.585823219Z,2026-03-20T11:33:21.338Z,ue_info,1,4601,default,0,11,3952,0,17,1,7,1.6073085,205.830872,25.87,148.518879,1,n/a,202.586818,9728,27,1,2
